證券代碼,簡稱,年月,市值(百萬元),收盤價(元)_年,Unknown masked parameter,股價淨值比,股價營收比,M淨值報酬率─稅後,資產報酬率ROA,營業利益率OPM,利潤邊際NPM,負債/淨值比,M流動比率,M速動比率,M存貨週轉率 (次),M應收帳款週轉次,M營業利益成長率,M稅後淨利成長率,Return,ReturnMean_year_Label,年份,訓練年份,測試年份,使用準則,最大深度,選股類型
1216,統一         ,199912,72520,11.47,0.153656717591307,0.85469,0.59708,0.04126,0.091906,0.016804,0.064224,1.2275,106.38,73.11,7.84,13.4,26.66,-17.52,-1.1334,1,1999,1998,1999,gini,3,預測為高於平均
2347,聯強         ,199912,72100,39.37,0.281005302533871,1.0945,0.2681,0.088424,0.13717,0.030896,0.033733,0.55123,241.47,185.41,13.93,8.78,11.92,57.32,-70.0025,0,1999,1998,1999,gini,3,預測為高於平均
2912,統一超       ,199912,71523,48.07,0.440085139001721,3.2612,0.49927,0.11608,0.21998,0.030577,0.033683,0.89508,96.37,60.19,22.39,204.9,8.23,19.25,-22.9665,1,1999,1998,1999,gini,3,預測為高於平均
1101,台泥         ,199912,71166,17.78,0.527142741760652,0.97371,1.7431,0.023325,0.056252,0.077142,0.11046,1.4116,86.97,54.68,10.07,6.3,-18.12,-14.46,-48.5939,0,1999,1998,1999,gini,3,預測為高於平均
2343,精業         ,199912,69375,77.86,0.457424365687674,4.0363,3.3735,0.095515,0.14405,0.088057,0.1204,0.50814,282.57,182.34,4.74,5.32,34.85,47.05,-74.0175,0,1999,1998,1999,gini,3,預測為高於平均
2363,矽統         ,199912,65067,103.4,0.875371598604185,3.3452,5.855,0.07933,0.10329,0.15716,0.18079,0.30201,281.38,264.68,12.78,5.32,94.01,82.27,-45.3385,1,1999,1998,1999,gini,3,預測為高於平均
2339,合泰         ,199912,64431,55.0,0.518052108361104,3.2602,9.6491,-0.019041,-0.032296,-0.14995,-0.095603,0.69618,190.0,173.52,8.95,4.2,-9.41,34.76,-100.0,0,1999,1998,1999,gini,3,預測為高於平均
2381,華宇         ,199912,62387,94.09,0.943622624548388,5.0477,1.3941,0.12311,0.25731,0.072901,0.071076,1.09,166.68,88.03,7.59,6.99,-7.89,3.44,-71.219,0,1999,1998,1999,gini,3,預測為高於平均
1605,華新         ,199912,58564,12.44,0.637709098072174,0.76179,1.2101,0.027028,0.047364,0.037485,0.082023,0.7524,157.12,111.9,5.2,4.98,406.99,256.7,-24.8392,1,1999,1998,1999,gini,3,預測為高於平均
1102,亞泥         ,199912,51597,11.29,0.957693939841583,0.57661,1.6751,0.05916,0.093216,0.11881,0.27084,0.57567,112.98,87.94,6.06,2.23,-38.29,20.1,-25.6864,1,1999,1998,1999,gini,3,預測為高於平均
2312,金寶         ,199912,46480,23.97,0.676122303863752,1.2957,0.70396,0.18787,0.28975,0.03944,0.16346,0.54225,160.63,106.49,7.25,9.0,-28.07,178.23,-72.3821,0,1999,1998,1999,gini,3,預測為高於平均
2329,華泰         ,199912,43363,137.72,0.289064571674477,8.5065,11.4576,0.042834,0.07974,-0.023167,0.10739,0.86157,167.92,131.44,9.52,4.32,-1759.46,41.53,-79.7923,0,1999,1998,1999,gini,3,預測為高於平均
1504,東元         ,199912,40768,14.95,0.695140499551737,0.74157,0.81783,0.047817,0.08398,0.049,0.092588,0.75628,257.74,168.98,4.23,4.82,-6.31,49.58,-24.5485,1,1999,1998,1999,gini,3,預測為高於平均
2401,凌陽         ,199912,40368,46.69,0.0679927684700106,2.6055,3.0123,0.22444,0.26176,0.3121,0.30285,0.16626,414.98,360.17,8.58,7.51,47.49,38.4,20.6682,1,1999,1998,1999,gini,3,預測為高於平均
2376,技嘉         ,199912,39628,41.4,0.254790156597005,1.3911,0.5638,0.18237,0.25415,0.11095,0.10301,0.39359,226.86,146.45,9.5,9.78,38.75,26.88,-55.1449,0,1999,1998,1999,gini,3,預測為高於平均
2350,環電         ,199912,39487,36.82,0.224040030824219,1.9167,0.50807,0.080065,0.18429,0.058827,0.048853,1.3018,122.73,78.54,9.05,5.61,70.02,144.38,-73.0581,0,1999,1998,1999,gini,3,預測為高於平均
2315,神達         ,199912,36914,21.23,0.667832727013717,1.2393,0.12503,0.042734,0.11083,0.02003,0.013407,1.5935,134.25,70.89,10.55,15.5,-2.23,3.61,-59.2558,0,1999,1998,1999,gini,3,預測為高於平均
2204,中華         ,199912,33987,16.41,0.344462411301042,0.66925,0.34635,0.086261,0.12804,0.053216,0.066259,0.48432,244.08,171.28,5.68,26.96,-23.14,-23.79,18.7081,1,1999,1998,1999,gini,3,預測為高於平均
2353,宏碁         ,199912,32789,51.35,0.780519652731358,2.2731,0.3083,0.055726,0.13408,0.028485,0.021119,1.4061,137.93,97.38,12.96,6.56,155.01,117.53,-71.8014,0,1999,1998,1999,gini,3,預測為高於平均
2373,震旦行       ,199912,32059,56.75,0.675332065747,3.6378,1.535,0.061102,0.10966,0.031611,0.049326,0.79465,132.71,80.86,6.79,7.57,24.14,62.38,-55.9648,0,1999,1998,1999,gini,3,預測為高於平均
2395,研華         ,199912,28884,44.96,0.602170487581795,2.4515,1.3009,0.20683,0.28454,0.20121,0.15217,0.37571,250.2,164.38,4.73,8.1,5.63,9.83,-36.0543,1,1999,1998,1999,gini,3,預測為高於平均
2615,萬海         ,199912,27540,8.11,0.386771194520985,0.56713,0.30778,0.10147,0.156,0.099803,0.084819,0.53737,148.23,141.69,0.0,38.41,-17.25,-11.52,-4.439,1,1999,1998,1999,gini,3,預測為高於平均
1802,台玻         ,199912,26640,10.34,0.915991244131425,0.51468,0.92404,0.054359,0.069036,0.1041,0.12782,0.27001,271.88,182.91,3.17,6.46,-27.8,2.72,31.2379,1,1999,1998,1999,gini,3,預測為高於平均
1434,福懋         ,199912,26497,8.85,0.00115105712910724,0.66143,0.74059,0.05156,0.094813,0.11375,0.10729,0.83889,112.87,68.7,3.63,5.07,5.45,23.42,-8.3616,1,1999,1998,1999,gini,3,預測為高於平均
1722,台肥         ,199912,26250,19.48,0.462449159242329,0.61451,1.9402,-0.00036998,-0.00060884,0.051724,-0.0019215,0.64558,485.96,359.94,4.74,14.22,31.5,-100.87,-52.4127,0,1999,1998,1999,gini,3,預測為高於平均
2386,國電         ,199912,25953,74.22,0.424349039815375,3.2088,1.0092,0.14508,0.26607,0.079648,0.083694,0.83401,184.67,137.25,10.94,5.72,90.64,97.32,-13.9989,1,1999,1998,1999,gini,3,預測為高於平均
2609,陽明         ,199912,25367,7.25,0.460916366028964,0.5,0.26782,0.043075,0.068771,0.039497,0.036828,0.59655,110.51,73.22,0.0,38.37,193.7,235.82,0.0,1,1999,1998,1999,gini,3,預測為高於平均
2345,智邦         ,199912,24993,42.95,0.770159728608609,1.689,0.95871,0.03992,0.079444,0.034081,0.045088,0.9901,213.93,120.95,4.2,5.39,285.09,241.6,-64.6333,0,1999,1998,1999,gini,3,預測為高於平均
2913,農林         ,199912,24647,56.06,0.322471807186779,5.9449,15.1105,-0.039632,-0.107,-0.12244,-0.27524,1.6997,23.65,17.11,8.97,4.89,-14.12,-22.64,-79.2009,0,1999,1998,1999,gini,3,預測為高於平均
2411,飛瑞         ,199912,20974,26.42,0.784739294760742,1.5983,1.4986,0.17096,0.20652,0.22269,0.1937,0.20799,439.81,393.72,7.81,6.03,32.74,26.41,-29.9773,1,1999,1998,1999,gini,3,預測為高於平均
2310,旭麗         ,199912,20772,37.37,0.471357153710612,2.0059,0.6959,0.068251,0.16658,0.024451,0.057792,1.4407,166.05,126.49,8.49,9.06,-56.53,9.99,-64.0888,0,1999,1998,1999,gini,3,預測為高於平均
